Date,Price,Open,High,Low,Vol.,Change %
12-11-2024,1718.20,1772.00,1775.00,1708.65,15.70M,-2.72%
11-11-2024,1766.30,1754.55,1782.80,1751.20,12.28M,0.68%
08-11-2024,1754.45,1752.00,1761.80,1745.85,9.95M,0.45%
07-11-2024,1746.55,1744.30,1760.95,1738.00,9.45M,-0.50%
06-11-2024,1755.25,1771.50,1771.50,1745.35,13.89M,-0.15%
05-11-2024,1757.85,1703.00,1762.70,1697.90,22.12M,2.55%
04-11-2024,1714.10,1745.00,1745.00,1710.90,14.04M,-1.34%
01-11-2024,1737.30,1733.00,1744.10,1726.10,879.85K,0.09%
31-10-2024,1735.70,1728.00,1738.90,1719.40,11.45M,0.06%
30-10-2024,1734.60,1742.00,1754.75,1724.20,16.36M,-0.98%
29-10-2024,1751.85,1726.15,1764.00,1725.10,17.90M,1.02%
28-10-2024,1734.20,1742.00,1751.00,1728.90,11.01M,-0.53%
25-10-2024,1743.40,1755.00,1757.85,1728.70,13.07M,-0.36%
24-10-2024,1749.65,1738.10,1768.65,1738.10,15.42M,0.80%
23-10-2024,1735.80,1705.05,1746.50,1705.05,19.02M,1.24%
22-10-2024,1714.55,1730.05,1740.00,1710.70,19.44M,-0.82%
21-10-2024,1728.70,1715.00,1748.15,1711.05,23.27M,2.79%
18-10-2024,1681.85,1663.10,1691.00,1654.10,12.40M,0.52%
17-10-2024,1673.15,1694.95,1697.65,1665.20,7.35M,-1.57%
16-10-2024,1699.80,1680.10,1707.95,1680.10,10.24M,0.93%
15-10-2024,1684.10,1694.00,1698.00,1675.50,9.83M,-0.24%
14-10-2024,1688.10,1656.05,1692.05,1654.00,9.26M,2.25%
11-10-2024,1651.00,1664.45,1664.45,1643.25,11.84M,-0.69%
10-10-2024,1662.40,1639.00,1665.45,1632.50,10.88M,1.79%
09-10-2024,1633.15,1649.50,1656.75,1628.70,20.56M,-1.08%
08-10-2024,1651.05,1630.00,1656.80,1622.00,14.87M,2.06%
07-10-2024,1617.80,1652.20,1659.00,1613.00,47.23M,-2.40%
04-10-2024,1657.65,1674.50,1690.65,1653.00,24.34M,-1.45%
03-10-2024,1682.00,1715.65,1726.15,1673.35,24.24M,-2.56%
01-10-2024,1726.20,1724.00,1742.00,1720.10,12.29M,-0.34%
